Zmienna;Jednostka terytorialna;Jednostka;Rok;Kwarta³;Wartoœæ
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2010;1;3241,92
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2010;2;3270,91
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2010;3;3258,99
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2010;4;3371,11
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2011;1;3392,04
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2011;2;3446,41
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2011;3;3485,61
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2011;4;3514,75
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2012;1;3557,2
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2012;2;3573,11
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2012;3;3590,11
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2012;4;3625,98
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2013;1;3648,14
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2013;2;3690,42
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2013;3;3727,32
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2013;4;3760,93
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2014;1;3790,91
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2014;2;3827,41
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2014;3;3860,76
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2014;4;3887,17
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2015;1;3930,17
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2015;2;3944,48
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2015;3;3981,01
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2015;4;4020,66
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2016;1;4054,4
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2016;2;4097,35
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2016;3;4143,43
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2016;4;4170,33
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2017;1;4237,15
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2017;2;4295,96
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2017;3;4354,58
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2017;4;4444,88
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2018;1;4514,44
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2018;2;4603,5
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2018;3;4681,47
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2018;4;4774,75
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2019;1;4842,18
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2019;2;4942,28
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2019;3;5037,5
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2019;4;5105,37
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2020;1;5179,84
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2020;2;5137,88
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2020;3;5293,89
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2020;4;5386,69
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2021;1;5513,09
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2021;2;5618,36
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2021;3;5770,66
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2021;4;5927,8
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2022;1;6066,48
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2022;2;6276,72
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2022;3;6601,43
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2022;4;6691,64
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2023;1;6897,48
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2023;2;7114,8
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2023;3;7341,22
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2023;4;7562,94
Przeciêtne miesiêczne wynagrodzenia brutto w gospodarce narodowej;Polska;z³;2024;1;7852,3
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2010;1;3382,47
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2010;2;3420,33
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2010;3;3424,61
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2010;4;3499,97
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2011;1;3521,76
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2011;2;3592,12
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2011;3;3635,98
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2011;4;3659,47
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2012;1;3704,41
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2012;2;3706,23
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2012;3;3733,8
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2012;4;3765,33
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2013;1;3776,98
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2013;2;3814,6
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2013;3;3860,12
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2013;4;3894,94
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2014;1;3926,55
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2014;2;3969,19
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2014;3;3990,77
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2014;4;4034,26
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2015;1;4075,39
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2015;2;4088,84
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2015;3;4134,94
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2015;4;4186,01
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2016;1;4219,57
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2016;2;4259,93
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2016;3;4305,93
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2016;4;4320,81
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2017;1;4411,06
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2017;2;4483,19
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2017;3;4565,41
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2017;4;4652,42
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2018;1;4722,21
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2018;2;4814,29
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2018;3;4885,86
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2018;4;4981,08
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2019;1;5032,55
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2019;2;5142,63
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2019;3;5223,14
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2019;4;5278,81
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2020;1;5369,51
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2020;2;5250,96
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2020;3;5452,71
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2020;4;5574,53
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2021;1;5667,54
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2021;2;5775,54
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2021;3;5968,99
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2021;4;6152,09
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2022;1;6320,35
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2022;2;6552,56
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2022;3;6826,79
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2022;4;6922,37
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2023;1;7143,87
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2023;2;7338,57
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2023;3;7557,9
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2023;4;7746,12
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2024;1;8026,78
