Zmienna;Jednostka terytorialna;Jednostka;Rok;Kwarta³;Wartoœæ
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2010;1;8062
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2010;2;8121
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2010;3;8170
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2010;4;8199
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2011;1;8271
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2011;2;8278
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2011;3;8293
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2011;4;8305
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2012;1;8292
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2012;2;8297
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2012;3;8282
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2012;4;8269
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2013;1;8231
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2013;2;8205
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2013;3;8192
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2013;4;8178
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2014;1;8196
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2014;2;8208
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2014;3;8220
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2014;4;8249
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2015;1;8250
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2015;2;8274
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2015;3;8304
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2015;4;8358
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2016;1;8402
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2016;2;8463
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2016;3;8510
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2016;4;8573
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2017;1;8666
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2017;2;8719
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2017;3;8813
